---> CALC | random_big | 

d= 10 | s=1.000 | r=  6.0 | t=  31.10 *  1 | e avg=0.0e+00 | e max=0.0e+00
d= 10 | s=0.100 | r=  6.0 | t=  46.51 *  1 | e avg=0.0e+00 | e max=0.0e+00
d= 10 | s=0.010 | r=  6.0 | t=  14.30 *  1 | e avg=0.0e+00 | e max=0.0e+00
d= 15 | s=1.000 | r=  6.0 | t=  53.86 *  1 | e avg=0.0e+00 | e max=0.0e+00
d= 15 | s=0.100 | r=  6.0 | t=  46.13 *  1 | e avg=0.0e+00 | e max=0.0e+00
d= 15 | s=0.010 | r=  6.0 | t=  35.49 *  1 | e avg=0.0e+00 | e max=0.0e+00
d= 20 | s=1.000 | r=  6.0 | t=  70.66 *  1 | e avg=0.0e+00 | e max=0.0e+00
d= 20 | s=0.100 | r=  6.0 | t= 124.27 *  1 | e avg=0.0e+00 | e max=0.0e+00
d= 20 | s=0.010 | r=  6.0 | t=  30.78 *  1 | e avg=1.3e-02 | e max=1.3e-02

===> DONE | random_big | Time:    453.118

