---> CALC | random_small | 

d= 4 | r= 1 | t=   3.88 * 10 | e_min=0.0e+00 | e_max=0.0e+00
d= 4 | r= 2 | t=   7.83 * 10 | e_min=1.6e-16 | e_max=2.1e-16
d= 4 | r= 3 | t=   6.12 * 10 | e_min=2.2e-16 | e_max=3.5e-16
d= 4 | r= 4 | t=   6.27 * 10 | e_min=2.6e-16 | e_max=2.2e-16
d= 4 | r= 5 | t=   9.22 * 10 | e_min=2.0e-16 | e_max=1.6e-16
d= 5 | r= 1 | t=   4.47 * 10 | e_min=0.0e+00 | e_max=0.0e+00
d= 5 | r= 2 | t=   7.73 * 10 | e_min=3.7e-16 | e_max=2.1e-16
d= 5 | r= 3 | t=  12.32 * 10 | e_min=2.0e-16 | e_max=2.1e-16
d= 5 | r= 4 | t=   4.39 * 10 | e_min=3.6e-16 | e_max=2.8e-16
d= 5 | r= 5 | t=  21.38 * 10 | e_min=3.0e-16 | e_max=2.3e-16
d= 6 | r= 1 | t=   5.14 * 10 | e_min=0.0e+00 | e_max=0.0e+00
d= 6 | r= 2 | t=   8.09 * 10 | e_min=3.4e-16 | e_max=2.8e-16
d= 6 | r= 3 | t= 123.02 * 10 | e_min=4.1e-16 | e_max=3.0e-16
d= 6 | r= 4 | t=  16.05 * 10 | e_min=2.8e-16 | e_max=2.0e-16
d= 6 | r= 5 | t=  98.90 * 10 | e_min=2.3e-16 | e_max=2.8e-16

===> DONE | random_small | Time:   3350.325

